Gene	SecondarySource	PrimarySource
PPP3R2	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
OR14K1	DGI_druggable	dGene RussLampel HopkinsGroom
PCSK2	DGI_druggable;DrugBank	dGene;
ADAM22	DGI_druggable	dGene RussLampel
PCSK6	DGI_druggable;DGI_membrane	dGene;GO
PCSK7	DGI_druggable	dGene
PCSK4	DGI_druggable	dGene
PCSK5	DGI_druggable	dGene
HIPK3	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
HIPK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
HIPK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
P4HA1	DrugBank	
ITPKA	DrugBank	
HIPK4	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
FDXR	DrugBank	
DUSP21	DGI_druggable	dGene RussLampel HopkinsGroom
TYK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;;
NEK9	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
SEMA4D	Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368
AKR1B1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
DUSP26	DGI_druggable	dGene RussLampel HopkinsGroom
DUSP27	DGI_druggable	HopkinsGroom
OTUD7A	DGI_druggable	dGene
MKL1	DrugBank	
OTUD7B	DGI_druggable	dGene
NCAN	DrugBank	
AMZ1	DGI_druggable	dGene
OR12D2	DGI_druggable	dGene RussLampel HopkinsGroom
OR12D3	DGI_druggable	dGene RussLampel HopkinsGroom
SLC43A3	DGI_druggable	RussLampel
TNFRSF10B	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ADAM28	DGI_druggable;DrugBank	dGene RussLampel;
NDUFA12	DrugBank	
PSAT1	DrugBank	
HSPA9	DGI_membrane	GO
CDC42BPG	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene HopkinsGroom;
ESPL1	DGI_druggable	dGene
GLP1R	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SCN4A	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
OR10S1	DGI_druggable	dGene RussLampel HopkinsGroom
SLC9C1	DGI_druggable	HopkinsGroom
CLEC7A	DGI_membrane	GO
YAF2	DGI_druggable	RussLampel HopkinsGroom
SAG	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
LRP2	DrugBank	
VN1R4	DGI_druggable	dGene
OPN1SW	DGI_druggable	dGene RussLampel HopkinsGroom
PORCN	DGI_druggable	RussLampel
ALOXE3	DGI_druggable	RussLampel HopkinsGroom
CPD	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
CRTAC1	DGI_druggable	RussLampel
GAST	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SCMH1	DrugBank	
PAPPA	DGI_druggable	dGene RussLampel
HSPA8	DGI_membrane;DrugBank;TherapeuticTargetsDatabase	GO;;
PIK3C2B	DGI_druggable;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;
PIK3C2A	DGI_druggable;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;
LRP1	DrugBank;Computationally obtained list of cell surface genes	;Publication_da_Cunha_etal_PMID_19805368
PIK3C2G	DGI_druggable	dGene RussLampel HopkinsGroom
GDI1	DrugBank	
MUC17	DGI_membrane	GO
TPTE	DGI_druggable	dGene HopkinsGroom
CYP4X1	DGI_druggable	RussLampel HopkinsGroom
GPR160	DGI_druggable	dGene
CNDP2	DGI_druggable	dGene RussLampel
CDA	DrugBank	
BPIFB3	DGI_druggable	RussLampel HopkinsGroom
TNKS2	DGI_druggable	HopkinsGroom
ABCD2	DGI_druggable	RussLampel
OR52K1	DGI_druggable	dGene RussLampel HopkinsGroom
OR52K2	DGI_druggable	dGene RussLampel HopkinsGroom
FKBP6	DGI_druggable	RussLampel HopkinsGroom
LMLN	DGI_druggable	dGene RussLampel
ANGPTL7	DGI_druggable	RussLampel HopkinsGroom
PTEN	DGI_druggable;Rahul	dGene;Biallelic inactivation may predict sensitivity to PI3K pathway inhibitors -- PI3K inhibitors, AKT inhibitors, and MTOR inhibitors.  Biallelic inactivation may predict resistance to anti-RTK therapy, including cetuximab, anti-EGFR TKIs, and trastuzumab and lapatinib.  Biallelic inactivation may predict sensitivity to PARP inhibitors
ANGPTL5	DGI_druggable	RussLampel HopkinsGroom
MFAP4	DGI_druggable	RussLampel HopkinsGroom
PLTP	DGI_druggable	RussLampel HopkinsGroom
ANGPTL2	DGI_druggable	RussLampel HopkinsGroom
GPR119	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
RHBDD1	DGI_druggable	dGene
NDUFB8	DrugBank	
ACE2	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
GPR115	DGI_druggable	dGene RussLampel HopkinsGroom
GPR114	DGI_druggable	dGene RussLampel HopkinsGroom
GPR113	DGI_druggable	dGene RussLampel HopkinsGroom
STK38L	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
GPR111	DGI_druggable	dGene RussLampel HopkinsGroom
GPR110	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
MMP14	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
USP17L2	DGI_druggable	dGene
MMP16	DGI_druggable;DGI_membrane;DrugBank	dGene RussLampel HopkinsGroom;GO;
MMP17	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
MMP10	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
MMP11	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
MMP12	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;
MMP13	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
DSTYK	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
CDKN1B	Rahul	Deletion may predict sensitivty to CDK inhibitors
CDKN1A	Rahul	Deletion may predict sensitivty to CDK inhibitors
QSOX1	DGI_druggable	RussLampel HopkinsGroom
UBE2D2	DrugBank	
MMP19	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
WNT6	DGI_membrane	GO
GPLD1	DGI_druggable	RussLampel
PRG2	DrugBank	
NDUFB7	DrugBank	
OR2W3	DGI_druggable	dGene RussLampel HopkinsGroom
EDNRA	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
OR2W1	DGI_druggable	dGene RussLampel HopkinsGroom
TDO2	DrugBank	
VEGFC	TherapeuticTargetsDatabase	
PLG	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CYP11A1	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;
APOB	DGI_druggable;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CYP4F22	DGI_druggable	RussLampel HopkinsGroom
IL7	TherapeuticTargetsDatabase	
AHR	DrugBank	
LCTL	DrugBank	
RFK	DrugBank	
MST1	DGI_druggable	dGene RussLampel HopkinsGroom
APOH	DGI_membrane;DrugBank;TherapeuticTargetsDatabase	GO;;
SLCO1C1	DGI_druggable;DrugBank	RussLampel;
PAICS	DrugBank	
OR1I1	DGI_druggable	dGene RussLampel HopkinsGroom
NF2	Rahul	Biallelic inactivation may predict sensitivity to PI3K pathway inhibitors (PI3K/AKT/MTOR)
NR2E3	DGI_druggable	dGene RussLampel HopkinsGroom
OR5AR1	DGI_druggable	dGene RussLampel HopkinsGroom
HNMT	DrugBank;TherapeuticTargetsDatabase	;
MARS	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
IL3	DrugBank	
CYP3A43	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
IL5RA	Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368
ISLR2	DGI_membrane	GO
FOLR2	DrugBank	
TMEM123	DGI_membrane	GO
KCNQ4	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
OR2AP1	DGI_druggable	dGene RussLampel HopkinsGroom
KCNQ2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
KCNQ3	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
IAPP	TherapeuticTargetsDatabase	
KCNQ1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ALDH8A1	DGI_druggable	RussLampel HopkinsGroom
MSTN	DrugBank;TherapeuticTargetsDatabase	;
MMACHC	DrugBank	
VEGFA	DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
BLK	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
VEGFB	Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
TMX3	DGI_druggable	RussLampel HopkinsGroom
HCK	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
NPFFR1	DGI_druggable	dGene RussLampel HopkinsGroom
SDF2	DrugBank	
PREPL	DGI_druggable	dGene RussLampel HopkinsGroom
RHEB	Rahul;DrugBank	May predict sensitivty to MTOR inhibitors;
MBL2	DrugBank	
GZMA	DGI_druggable	dGene RussLampel HopkinsGroom
GZMB	DGI_druggable	dGene RussLampel HopkinsGroom
CNGA1	DGI_druggable	RussLampel HopkinsGroom
GZMM	DGI_druggable	dGene RussLampel HopkinsGroom
GZMH	DGI_druggable	dGene RussLampel HopkinsGroom
GZMK	DGI_druggable	dGene RussLampel HopkinsGroom
TMX2	DGI_druggable	HopkinsGroom
SULT1A1	DrugBank	
VWF	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
IL9	Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ATXN3	DGI_druggable	dGene
IGFBP7	DrugBank	
SOAT2	DGI_druggable;DrugBank	RussLampel;
MYH11	DrugBank	
SOAT1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
MYH14	DrugBank	
GNS	DGI_druggable	RussLampel HopkinsGroom
OTUD5	DGI_druggable	dGene
TK1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
RET	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;Mutations and fusion may predict sensitivity to RET inhibitors;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
MT-ND1	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
MBOAT2	DGI_druggable	RussLampel
MBOAT1	DGI_druggable	RussLampel
REN	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
REL	DGI_druggable	RussLampel HopkinsGroom
MBOAT4	DGI_druggable	RussLampel
HTRA4	DGI_druggable	dGene RussLampel
GPRC5D	DGI_druggable	dGene RussLampel
SPSB1	DGI_druggable	HopkinsGroom
GPRC5A	DGI_druggable;DrugBank	dGene RussLampel;
HTRA1	DGI_druggable	dGene RussLampel
GPRC5C	DGI_druggable	dGene RussLampel
GPRC5B	DGI_druggable	dGene RussLampel
OXER1	DGI_druggable	dGene RussLampel HopkinsGroom
SLC25A51	DGI_druggable	RussLampel
RPSA	DrugBank	
MFSD6	DGI_druggable	RussLampel
P2RY14	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
ZRANB3	DGI_druggable	RussLampel HopkinsGroom
P2RY10	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
P2RY11	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
P2RY12	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
P2RY13	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
OR2A1	DGI_druggable	dGene
ALAS1	DrugBank	
CYP21A2	DGI_druggable	RussLampel HopkinsGroom
OR2A2	DGI_druggable	dGene RussLampel HopkinsGroom
OR2A5	DGI_druggable	dGene RussLampel HopkinsGroom
OR2A4	DGI_druggable	dGene RussLampel HopkinsGroom
OR2A7	DGI_druggable	dGene RussLampel HopkinsGroom
S100A4	DrugBank	
OR2T34	DGI_druggable	dGene RussLampel HopkinsGroom
OR2T35	DGI_druggable	dGene RussLampel HopkinsGroom
SLCO4A1	DGI_druggable;DrugBank	RussLampel;
OR2T33	DGI_druggable	dGene RussLampel HopkinsGroom
S100A2	DrugBank	
LARS	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
STYX	DGI_druggable	dGene RussLampel HopkinsGroom
GJA1	DrugBank	
OR6K3	DGI_druggable	dGene HopkinsGroom
OR6K2	DGI_druggable	dGene RussLampel HopkinsGroom
MCOLN1	DGI_druggable	RussLampel
OR6K6	DGI_druggable	dGene RussLampel HopkinsGroom
BCAT2	DrugBank	
LEPR	DrugBank;Computationally obtained list of cell surface genes	;Publication_da_Cunha_etal_PMID_19805368
SV2A	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
LTA	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
TINAG	DGI_druggable	dGene RussLampel
LTF	DGI_druggable;DrugBank	dGene;
IRAK3	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
LTK	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
PGLYRP3	DrugBank	
RIOK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene;
RIOK3	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene;
RIOK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene;
SLC13A1	DrugBank	
MAP2K2	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;Activating mutations may predict sensitivty to MEK2 inhibitors;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
KCNA3	DGI_druggable	RussLampel HopkinsGroom
BCAT1	DrugBank	
MAP2K1	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;Mutations predict resistance to RAF- and MEK- inhibitor;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
TP73	DGI_druggable	RussLampel HopkinsGroom
SI	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
STMN4	DrugBank	
ICAM3	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
SST	DrugBank;TherapeuticTargetsDatabase	;
GPD1	DrugBank	
CEPT1	DrugBank	
MORC2	DGI_druggable	HopkinsGroom
MORC3	DGI_druggable	RussLampel HopkinsGroom
RBM5	DGI_druggable	RussLampel HopkinsGroom
MORC1	DGI_druggable	RussLampel HopkinsGroom
SPCS1	DGI_druggable	dGene
SPCS2	DGI_druggable	dGene
SPCS3	DGI_druggable	dGene
OR51D1	DGI_druggable	dGene RussLampel HopkinsGroom
C8G	DrugBank	
EGFR	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;Mutations targetable with TKIs (both FDA approved and novel). Other mutations predict resistance to TKIs.  Amplification associated with response to anti-EGFR Abs in colon cancer. Amplification also associated with resistance to TKIs in some cancers.  Rearangement is prognostic in GBM, HNSCC;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
IGF1R	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;Amplification may predict senitivity to IGFR1-R inhibitors;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
PPP1R1B	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
PTPRZ1	DGI_druggable	dGene RussLampel HopkinsGroom
F13A1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
ALOX5AP	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
PDE6C	DGI_druggable	RussLampel HopkinsGroom
OR5W2	DGI_druggable	dGene RussLampel HopkinsGroom
SLC40A1	TherapeuticTargetsDatabase	
GRIK5	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
PYGM	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CAD	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
PGF	Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
TRIM9	DGI_druggable	HopkinsGroom
PGD	DrugBank	
CAMLG	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CCNA2	DrugBank	
PGC	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
PDE1C	DGI_druggable;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;
PDE1B	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
PDE1A	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
ATP13A2	DGI_druggable	HopkinsGroom
ATP13A5	DGI_druggable	HopkinsGroom
UHMK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
IMPDH2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SLC37A3	DGI_druggable	RussLampel
TAS2R50	DGI_druggable	dGene
CXCR2	DGI_druggable;DGI_membrane;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
